Name,Short description,Last price,New price,Image name
Apple iPhone 13 Pro Max 512 ГБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",41 999 лей,39 999 лей,darwin-apple-iphone-13-pro-max-512-gb-sierra-blue-245676.jpg
Apple iPhone 13 Pro Max 128 ГБ Графитовый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-128-gb-graphite-245682.jpg
Apple iPhone 13 Pro Max 128 ГБ Золотой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-dual-sim-gold-069.jpg
Apple iPhone 13 Pro Max 128 ГБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-128-gb-sierra-blue-179417.jpg
Apple iPhone 13 Pro Max 128 ГБ Серебристый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-dual-sim-silver-065.jpg
Apple iPhone 13 Pro 1 ТБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-1-tb-gold-245689.jpg
Apple iPhone 13 Pro 1 ТБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-dual-sim-graphite-022.jpg
Apple iPhone 13 Pro 1 ТБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-sierra-dual-sim-blue-044.jpg
Apple iPhone 13 Pro 512 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-silver-245694.jpg
Apple iPhone 13 Pro 512 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-graphite-245703.jpg
